URL,BoycotProduct,Alternatives
https://madeinpakistan.guide/coca-cola/,coca-cola,"['Pakola', 'Cola Next', 'Gourmet Cola']"
https://madeinpakistan.guide/pepsi/,pepsi,"['Pakola', 'Cola Next', 'Gourmet Cola']"
https://madeinpakistan.guide/nestle-fruita-vitals/,nestle-fruita-vitals,"['Fruitien', 'Maza']"
https://madeinpakistan.guide/pampers/,pampers,"['Rocket Diapers', 'Leo Diapers', 'Shield Diapers', 'Carebaby Diapers']"
https://madeinpakistan.guide/nestle-milkpak/,nestle-milkpak,"['Prema Milk', 'Olpers Milk', 'Nurpur Milk', 'DayFresh Milk', 'Dairy Omung Milk', 'Anhaar Milk', 'Haleeb Milk', 'Goodmilk']"
https://madeinpakistan.guide/mcdonalds/,mcdonalds,"['Burger Lab', 'Cheezious', 'The Burger Shack', 'Howdy', 'Ranchers', 'Burger Fest', 'NY212', 'Fri-Chicks', 'Mr. Burger']"
https://madeinpakistan.guide/kfc/,kfc,"['Burger Lab', 'Cheezious', 'The Burger Shack', 'Howdy', 'Ranchers', 'Burger Fest', 'NY212', 'Fri-Chicks', 'Mr. Burger']"
https://madeinpakistan.guide/supreme-tea/,supreme-tea,"['Tapal Tea', 'Islamabad Tea', 'Vital Tea', 'Meezan Tea', 'Qamar Tea']"
https://madeinpakistan.guide/lipton/,lipton,"['Tapal Tea', 'Islamabad Tea', 'Vital Tea', 'Meezan Tea', 'Qamar Tea']"
https://madeinpakistan.guide/lays/,lays,"['Super Crisp', 'Kolson Snacks', 'Kurleez (Snack City)']"
https://madeinpakistan.guide/colgate/,colgate,"['Medicam Toothpaste', 'Doctors Toothpaste', 'Mr. White Toothpaste', 'Hamdard Miswak Toothpaste', 'Forhans Toothpaste', 'Prodent Toothpaste', 'Hamdard Revand Toothpaste']"
https://madeinpakistan.guide/maggi/,maggi,"['Shan Shoop', 'Bake Parlor Macroni', 'Kolson Penne']"
https://madeinpakistan.guide/ariel/,ariel,"['Sufi', 'Sufi Twin', 'Hero Detergent', 'Big Cleaning Detergent', 'Imtiaz Detergent']"
https://madeinpakistan.guide/surf-excel/,surf-excel,"['Sufi', 'Sufi Twin', 'Big Cleaning Detergent', 'Hero Detergent', 'Imtiaz Detergent']"
https://madeinpakistan.guide/walls/,walls,"['Hico Ice Cream', 'Omore', 'Gourmet Ice Cream']"
https://madeinpakistan.guide/always-pads/,always-pads,"['Butterfly Pads', 'Embrace Pads']"
https://madeinpakistan.guide/ponds-cream/,ponds-cream,"['Golden Pearl Cream', 'Skin White Cream', 'Medicam Beauty Cream', 'Saeed Ghani Beauty Cream', 'Heaven Dove Beauty Cream']"
https://madeinpakistan.guide/glow-lovely/,glow-lovely,"['Golden Pearl Cream', 'Skin White Cream', 'Medicam Beauty Cream', 'Saeed Ghani Beauty Cream', 'Heaven Dove Beauty Cream']"
https://madeinpakistan.guide/nestle-nido/,nestle-nido,"['Comelle Milk Powder', 'Olpers Milk Powder']"
https://madeinpakistan.guide/nestle-everyday/,nestle-everyday,['Tea Millac']
https://madeinpakistan.guide/palmolive-soap/,palmolive-soap,"['Capri', 'Saeed Ghani Soap', 'Care Soap']"
https://madeinpakistan.guide/safeguard-soap/,safeguard-soap,"['Capri', 'Saeed Ghani Soap', 'Care Soap']"
https://madeinpakistan.guide/lifebuoy-soap/,lifebuoy-soap,"['Capri', 'Saeed Ghani Soap', 'Care Soap']"
https://madeinpakistan.guide/dove-soap/,dove-soap,"['Capri', 'Saeed Ghani Soap', 'Care Soap']"
https://madeinpakistan.guide/lux-soap/,lux-soap,"['Capri', 'Saeed Ghani Soap', 'Care Soap']"
https://madeinpakistan.guide/pantene-shampoo/,pantene-shampoo,"['Saeed Ghani Amla Shampoo', 'Bio Amla Shampoo', 'Saeed Ghani Argan Shampoo', 'Saeed Ghani Mughziat Shampoo', 'Samsol Egg Shampoo', 'Saeed Ghani Neem Shampoo', 'Medicam Anti-Hair Fall Shampoo', 'Medicam Shiny Hair Shampoo', 'Medicam Shampoo', 'Medicam Volumeboost Shampoo', 'Hello Hair Herbal Shampoo', 'Hello Hair Anti-Dandruff Shampoo', 'Hello Hair Daily Moisturizing Shampoo', 'Hello Egg Protein Shampoo']"
https://madeinpakistan.guide/head-shoulders-shampoo/,head-shoulders-shampoo,"['Saeed Ghani Amla Shampoo', 'Bio Amla Shampoo', 'Saeed Ghani Argan Shampoo', 'Saeed Ghani Mughziat Shampoo', 'Samsol Egg Shampoo', 'Saeed Ghani Neem Shampoo', 'Medicam Anti-Hair Fall Shampoo', 'Medicam Shiny Hair Shampoo', 'Medicam Shampoo', 'Medicam Volumeboost Shampoo', 'Hello Hair Herbal Shampoo', 'Hello Hair Anti-Dandruff Shampoo', 'Hello Hair Daily Moisturizing Shampoo', 'Hello Egg Protein Shampoo']"
https://madeinpakistan.guide/johnson-baby-shampoo/,johnson-baby-shampoo,"['Nexton Baby Shampoo', 'Nexton Baby Shampoo Aloe Vera', 'Nexton Baby Shampoo 2-in-1']"
